District code,District,Urban / rural,No:of villages inhabited,No:of villages uninhabited,Number of towns,Number of households,Total population,Males,Females,Area(In sq . km),Population per sq . Km,Number of Sub Centres,Number of  Primary Health Centres,Number of Community Health Centres,Sub Divisional Hospital,District Hospital
1,Kupwara,Total,353,9,10,"1,13,929","8,70,354","4,74,190","3,96,164",2379.0,366,141,33,7,0,1
2,Badgam,Total,462,12,9,"1,03,363","7,53,745","3,98,041","3,55,704",1361.0,554,115,44,9,0,1
4,Kargil,Total,125,2,1,"18,338","1,40,802","77,785","63,017",14036.0,10,60,2,4,0,1
7,Kathua,Total,496,16,6,"1,19,583","6,16,435","3,26,109","2,90,326",2502.0,246,137,24,5,0,1
8,Baramula,Total,509,9,7,"1,52,635","10,08,039","5,34,733","4,73,306",4243.0,238,128,33,6,0,1
9,Bandipore,Total,119,3,3,"58,392","3,92,232","2,07,680","1,84,552",345.0,"1,137",44,7,2,0,1
11,Ganderbal,Total,113,2,3,"45,361","2,97,446","1,58,720","1,38,726",259.0,"1,148",42,15,1,0,1
12,Pulwama,Total,319,10,5,"86,241","5,60,440","2,93,064","2,67,376",1086.0,516,74,17,2,0,1
15,Kulgam,Total,226,5,7,"73,728","4,24,483","2,17,620","2,06,863",410.0,"1,035",81,19,3,0,1
16,Doda,Total,402,4,2,"79,636","4,09,936","2,13,641","1,96,295",8912.0,46,75,13,3,0,1
17,Ramban,Total,127,2,3,"55,490","2,83,713","1,49,132","1,34,581",1329.0,213,39,9,3,0,1
18,Kishtwar,Total,155,2,1,"45,209","2,30,696","1,20,165","1,10,531",1644.0,140,39,7,1,0,1
19,Udhampur,Total,325,6,6,"99,240","5,54,985","2,96,784","2,58,201",2637.0,210,97,21,2,0,1
20,Reasi,Total,253,2,5,"56,689","3,14,667","1,66,461","1,48,206",1719.0,183,64,12,2,0,1
21,Jammu,Total,780,72,20,"3,14,199","15,29,958","8,13,821","7,16,137",2342.0,653,197,34,8,0,1
22,Samba,Total,345,31,6,"65,385","3,18,898","1,69,124","1,49,774",904.0,353,75,11,3,0,1
23,Chamba,Total,"1,110",481,5,"1,02,460","5,19,080","2,61,320","2,57,760",6522.0,80,170,42,7,0,0
24,Kangra,Total,"3,617",252,9,"3,38,887","15,10,075","7,50,591","7,59,484",5739.0,263,434,77,14,0,0
25,Lahul & Spiti,Total,280,241,0,"6,674","31,564","16,588","14,976",13841.0,2,36,16,3,0,0
26,Kullu,Total,314,12,5,"94,807","4,37,903","2,25,452","2,12,451",5503.0,80,100,17,6,0,0
27,Mandi,Total,"2,850",488,5,"2,19,145","9,99,777","4,98,065","5,01,712",3950.0,253,312,61,12,0,0
28,Hamirpur,Total,"1,671",54,4,"1,05,519","4,54,768","2,17,070","2,37,698",1118.0,407,151,26,5,0,0
28,Hamirpur,Total,"1,671",54,4,"1,05,519","4,54,768","2,17,070","2,37,698",1118.0,407,215,33,4,0,0
30,Bilaspur,Total,953,108,4,"80,485","3,81,956","1,92,764","1,89,192",1167.0,327,381,79,10,0,1
30,Bilaspur,Total,953,108,4,"80,485","3,81,956","1,92,764","1,89,192",1167.0,327,114,30,6,0,0
31,Solan,Total,"2,383",161,8,"1,22,425","5,80,320","3,08,754","2,71,566",1936.0,300,178,31,5,0,0
32,Sirmaur,Total,968,8,3,"98,208","5,29,855","2,76,289","2,53,566",2825.0,188,148,36,3,0,0
33,Shimla,Total,"2,705",526,11,"1,84,362","8,14,010","4,25,039","3,88,971",5131.0,159,260,77,7,0,0
35,Gurdaspur,Total,"1,515",80,27,"4,43,666","22,98,323","12,12,617","10,85,706",3551.0,647,290,40,15,2,1
36,Kapurthala ,Total,612,76,9,"1,67,989","8,15,168","4,26,311","3,88,857",1633.0,499,88,13,4,2,1
37,Jalandhar,Total,922,19,21,"4,61,635","21,93,590","11,45,211","10,48,379",2624.0,836,198,29,10,2,1
38,Hoshiarpur,Total,"1,385",31,13,"3,36,994","15,86,625","8,09,057","7,77,568",3386.0,469,244,32,10,3,1
40,Fatehgarh Sahib,Total,442,4,5,"1,18,100","6,00,163","3,20,795","2,79,368",1180.0,509,73,14,4,1,1
42,Moga,Total,319,6,5,"1,93,256","9,95,746","5,25,920","4,69,826",2242.0,444,121,22,5,1,1
43,Firozpur,Total,955,45,13,"3,85,994","20,29,074","10,71,637","9,57,437",5305.0,382,231,34,8,3,1
44,Muktsar,Total,233,1,4,"1,74,360","9,01,896","4,75,622","4,26,274",2593.0,348,102,17,5,2,1
45,Faridkot,Total,163,8,3,"1,20,893","6,17,508","3,26,671","2,90,837",1458.0,424,62,8,4,1,1
46,Bathinda,Total,279,2,12,"2,73,902","13,88,525","7,43,197","6,45,328",3353.0,414,136,20,9,2,1
47,Mansa,Total,238,2,5,"1,49,630","7,69,751","4,08,732","3,61,019",2198.0,350,103,14,4,1,1
48,Patiala,Total,895,17,12,"3,72,293","18,95,686","10,02,522","8,93,164",3325.0,570,186,28,10,3,1
49,Amritsar ,Total,703,36,15,"4,88,898","24,90,656","13,18,408","11,72,248",2683.0,928,179,37,4,2,1
50,Tarn Taran,Total,479,10,4,"2,03,421","11,19,627","5,89,369","5,30,258",2414.0,464,153,18,9,1,1
53,Sangrur,Total,564,7,13,"3,18,870","16,55,169","8,78,029","7,77,140",3625.0,457,194,32,6,2,1
55,Chandigarh,Total,5,0,6,"2,41,173","10,55,450","5,80,663","4,74,787",114.0,"9,258",17,0,2,0,1
56,Uttarkashi,Total,694,13,3,"67,602","3,30,086","1,68,597","1,61,489",8016.0,41,81,11,3,0,1
57,Chamoli,Total,"1,170",76,6,"88,964","3,91,605","1,93,991","1,97,614",8030.0,49,104,13,5,0,1
58,Rudraprayag,Total,653,35,2,"53,542","2,42,285","1,14,589","1,27,696",1984.0,122,65,11,2,0,1
59,Tehri Garhwal,Total,"1,774",88,7,"1,32,714","6,18,931","2,97,986","3,20,945",3642.0,170,190,26,5,1,1
60,Dehradun,Total,731,17,22,"3,47,001","16,96,694","8,92,199","8,04,495",3088.0,549,167,19,7,4,2
62,Pithoragarh,Total,"1,572",103,3,"1,14,730","4,83,439","2,39,306","2,44,133",7090.0,68,154,18,4,0,2
63,Bageshwar,Total,874,73,1,"58,046","2,59,898","1,24,326","1,35,572",2241.0,116,77,11,2,0,1
64,"Almora
",Total,"2,184",105,5,"1,40,577","6,22,506","2,91,081","3,31,425",3144.0,198,195,28,4,2,2
65,Champawat,Total,662,55,4,"53,953","2,59,648","1,31,125","1,28,523",1766.0,147,66,6,2,1,0
69,Panchkula,Total,206,13,8,"1,17,107","5,61,293","2,99,679","2,61,614",898.0,625,46,9,2,0,1
70,Ambala,Total,461,9,15,"2,24,334","11,28,350","5,98,703","5,29,647",1574.0,717,103,17,4,2,1
72,Kurukshetra,Total,407,8,5,"1,88,143","9,64,655","5,10,976","4,53,679",1530.0,630,110,21,5,0,1
73,Kaithal,Total,267,2,4,"2,04,274","10,74,304","5,71,003","5,03,301",2317.0,464,143,23,6,0,1
75,Panipat,Total,176,10,12,"2,35,640","12,05,437","6,46,857","5,58,580",1268.0,951,90,16,3,0,1
76,Sonipat,Total,319,13,8,"2,77,726","14,50,001","7,81,299","6,68,702",2122.0,683,161,28,6,1,1
77,Jind,Total,302,4,6,"2,49,736","13,34,152","7,13,006","6,21,146",2702.0,494,162,28,7,1,1
78,Fatehabad,Total,245,0,4,"1,80,637","9,42,011","4,95,360","4,46,651",2538.0,371,103,16,4,1,1
79,Sirsa,Total,327,3,5,"2,46,571","12,95,189","6,82,582","6,12,607",4277.0,303,151,24,6,2,1
80,Hisar,Total,268,1,11,"3,35,608","17,43,931","9,31,562","8,12,369",3983.0,438,198,35,8,3,1
81,Bhiwani,Total,442,2,6,"3,11,380","16,34,445","8,66,672","7,67,773",4778.0,342,214,42,9,5,1
82,Rohtak,Total,136,7,5,"2,06,988","10,61,204","5,68,479","4,92,725",1745.0,608,116,20,5,2,1
83,Jhajjar,Total,247,13,5,"1,85,334","9,58,405","5,14,667","4,43,738",1834.0,523,125,27,6,2,1
85,Rewari,Total,389,14,9,"1,78,043","9,00,332","4,74,335","4,25,997",1594.0,565,111,16,5,1,1
86,Gurgaon,Total,229,13,9,"3,26,428","15,14,432","8,16,690","6,97,742",1258.0,"1,204",75,15,3,2,1
87,Mewat ,Total,412,27,8,"1,60,280","10,89,263","5,71,162","5,18,101",1507.0,723,84,13,3,0,1
88,Faridabad,Total,144,5,3,"3,58,919","18,09,733","9,66,110","8,43,623",741.0,"2,442",59,14,2,1,1
89,Palwal ,Total,268,12,6,"1,71,157","10,42,708","5,54,497","4,88,211",1359.0,767,88,13,4,0,1
91,North,Total,2,2,4,"1,80,044","8,87,978","4,75,002","4,12,976",61.0,"14,557",0,0,0,2,0
91,North,Total,2,2,4,"1,80,044","8,87,978","4,75,002","4,12,976",61.0,"14,557",18,5,0,0,1
93,East,Total,1,0,7,"3,58,937","17,09,346","9,07,500","8,01,846",63.0,"27,132",1,0,0,3,0
93,East,Total,1,0,7,"3,58,937","17,09,346","9,07,500","8,01,846",63.0,"27,132",48,6,1,0,1
94,New Delhi,Total,0,0,0,"33,208","1,42,004","77,942","64,062",35.0,"4,057",0,0,0,1,0
95,Central,Total,0,0,0,"1,19,639","5,82,320","3,07,821","2,74,499",21.0,"27,730",0,0,0,7,0
96,West,Total,2,0,11,"5,33,221","25,43,243","13,56,240","11,87,003",130.0,"19,563",0,0,0,6,0
96,West,Total,2,0,11,"5,33,221","25,43,243","13,56,240","11,87,003",130.0,"19,563",41,7,0,0,1
98,South,Total,3,0,23,"5,74,133","27,31,929","14,67,428","12,64,501",247.0,"11,060",5,2,0,5,0
98,South,Total,3,0,23,"5,74,133","27,31,929","14,67,428","12,64,501",247.0,"11,060",39,6,1,0,1
100,Hanumangarh,Total,"1,831",76,6,"3,36,192","17,74,692","9,31,184","8,43,508",9656.0,184,285,39,9,0,1
101,Bikaner,Total,857,62,6,"3,84,944","23,63,937","12,40,801","11,23,136",30239.0,78,383,39,10,0,1
102,Churu,Total,873,26,10,"3,48,984","20,39,547","10,51,446","9,88,101",13835.0,147,377,60,10,2,1
104,Alwar,Total,"2,021",33,16,"6,39,720","36,74,179","19,39,026","17,35,153",8380.0,438,576,70,24,0,1
105,Bharatpur,Total,"1,432",92,10,"4,25,414","25,48,462","13,55,726","11,92,736",5066.0,503,396,57,13,0,1
106,Dhaulpur,Total,801,18,4,"2,03,754","12,06,516","6,53,647","5,52,869",3033.0,398,195,21,6,0,1
107,Karauli,Total,851,37,4,"2,62,503","14,58,248","7,83,639","6,74,609",5524.0,264,256,25,7,0,1
108,Sawai Madhopur,Total,758,56,4,"2,54,716","13,35,551","7,04,031","6,31,520",4498.0,297,228,22,4,1,1
109,Dausa,Total,"1,079",30,5,"2,92,502","16,34,409","8,57,787","7,76,622",3432.0,476,237,28,8,0,1
110,Jaipur,Total,"2,126",54,19,"11,77,096","66,26,178","34,68,507","31,57,671",11143.0,595,525,88,18,1,1
111,Sikar,Total,"1,162",5,15,"4,44,816","26,77,333","13,74,990","13,02,343",7732.0,346,536,70,17,0,1
113,Jodhpur,Total,"1,836",2,7,"6,49,013","36,87,165","19,23,928","17,63,237",22850.0,161,579,66,15,0,2
114,Jaisalmer,Total,756,43,2,"1,17,171","6,69,919","3,61,708","3,08,211",38401.0,17,137,15,6,0,1
115,Barmer,Total,"2,452",8,4,"4,51,629","26,03,751","13,69,022","12,34,729",28387.0,92,546,61,14,1,1
117,Sirohi,Total,470,7,9,"2,01,785","10,36,346","5,34,231","5,02,115",5136.0,202,191,22,6,0,1
118,Pali,Total,"1,017",13,11,"4,18,157","20,37,573","10,25,422","10,12,151",12387.0,164,432,67,15,1,1
119,Ajmer,Total,"1,099",12,11,"4,94,832","25,83,052","13,24,085","12,58,967",8481.0,305,290,43,11,2,2
120,Tonk,Total,"1,116",67,8,"2,66,870","14,21,326","7,28,136","6,93,190",7194.0,198,250,45,7,0,1
121,Bundi,Total,867,6,9,"2,20,768","11,10,906","5,77,160","5,33,746",5776.0,192,177,25,7,0,1
122,Bhilwara,Total,"1,790",44,9,"4,98,125","24,08,523","12,20,736","11,87,787",10455.0,230,415,63,16,0,1
123,Rajsamand,Total,"1,037",13,9,"2,43,078","11,56,597","5,81,339","5,75,258",4655.0,248,219,36,7,1,1
124,Dungarpur,Total,972,4,4,"2,82,029","13,88,552","6,96,532","6,92,020",3770.0,368,318,37,10,1,1
125,Banswara,Total,"1,485",28,4,"3,67,797","17,97,485","9,07,754","8,89,731",4522.0,397,401,41,14,0,1
126,Chittaurgarh,Total,"1,581",149,7,"3,29,119","15,44,338","7,83,171","7,61,167",7822.0,197,300,37,14,0,1
127,Kota,Total,805,69,11,"3,96,501","19,51,014","10,21,161","9,29,853",5217.0,374,161,27,9,0,1
128,Baran,Total,"1,114",107,8,"2,41,428","12,22,755","6,33,945","5,88,810",6992.0,175,206,36,9,0,1
130,Udaipur,Total,"2,471",8,17,"6,23,531","30,68,420","15,66,801","15,01,619",11724.0,262,557,69,21,0,1
131,Pratapgarh,Total,970,33,3,"1,78,726","8,67,848","4,37,744","4,30,104",4449.0,195,174,23,6,0,1
131,Pratapgarh,Total,970,33,3,"1,78,726","8,67,848","4,37,744","4,30,104",4449.0,195,360,71,17,0,0
132,Saharanpur,Total,"1,243",329,16,"5,97,656","34,66,382","18,34,106","16,32,276",3689.0,940,338,55,11,0,0
134,Bijnor,Total,"2,186",798,26,"6,33,197","36,82,713","19,21,215","17,61,498",4561.0,807,343,59,8,0,0
135,Moradabad,Total,"1,550",243,17,"7,96,170","47,72,006","25,03,186","22,68,820",3718.0,"1,283",416,57,8,0,0
136,Rampur,Total,"1,108",55,10,"3,93,736","23,35,819","12,23,889","11,11,930",2367.0,987,211,36,5,0,0
138,Meerut,Total,604,59,18,"5,79,110","34,43,689","18,25,743","16,17,946",2559.0,"1,346",358,43,4,0,0
139,Baghpat,Total,290,25,8,"2,09,916","13,03,048","7,00,070","6,02,978",1321.0,986,135,28,4,0,0
143,Aligarh,Total,"1,170",29,24,"6,11,371","36,73,889","19,51,996","17,21,893",3650.0,"1,007",351,60,11,0,0
145,Mathura,Total,730,144,25,"4,23,125","25,47,184","13,67,125","11,80,059",3340.0,763,261,44,8,0,0
146,Agra,Total,893,36,27,"7,10,566","44,18,797","23,64,953","20,53,844",4041.0,"1,093",383,68,7,0,0
148,Mainpuri,Total,820,31,9,"3,13,690","18,68,529","9,93,377","8,75,152",2760.0,677,203,51,6,0,0
150,Bareilly,Total,"1,855",196,31,"7,56,784","44,48,359","23,57,665","20,90,694",4120.0,"1,080",413,65,6,0,0
151,Pilibhit,Total,"1,295",140,11,"3,62,573","20,31,007","10,72,002","9,59,005",3686.0,551,195,34,6,0,0
152,Shahjahanpur,Total,"2,088",240,11,"5,27,501","30,06,538","16,06,403","14,00,135",4388.0,685,310,54,12,0,0
154,Sitapur,Total,"2,317",31,12,"8,01,764","44,83,992","23,75,264","21,08,728",5743.0,781,448,85,9,0,0
155,Hardoi,Total,"1,907",163,13,"7,30,442","40,92,845","21,91,442","19,01,403",5986.0,684,432,76,9,0,0
157,Lucknow,Total,803,4,12,"8,60,703","45,89,838","23,94,476","21,95,362",2528.0,"1,816",336,37,11,0,0
159,Farrukhabad,Total,872,133,9,"3,14,144","18,85,204","10,06,240","8,78,964",2181.0,864,192,31,6,0,0
161,Etawah,Total,686,6,6,"2,77,527","15,81,810","8,45,856","7,35,954",2311.0,684,169,48,5,0,0
165,Jalaun ,Total,942,209,10,"2,88,338","16,89,974","9,06,092","7,83,882",4565.0,370,286,48,5,0,0
166,Jhansi,Total,745,71,19,"3,67,779","19,98,603","10,57,436","9,41,167",5024.0,398,326,45,6,0,0
167,Lalitpur,Total,691,61,6,"2,22,094","12,21,592","6,41,011","5,80,581",5039.0,242,191,29,4,0,0
168,Hamirpur,Total,497,130,7,"2,04,863","11,04,285","5,93,537","5,10,748",4021.0,275,151,26,5,0,0
168,Hamirpur,Total,497,130,7,"2,04,863","11,04,285","5,93,537","5,10,748",4021.0,275,215,33,4,0,0
169,Mahoba,Total,435,86,5,"1,58,435","8,75,958","4,66,358","4,09,600",3144.0,279,150,21,3,0,0
170,Banda,Total,657,37,8,"3,19,963","17,99,410","9,65,876","8,33,534",4408.0,408,285,51,5,0,0
171,Chitrakoot,Total,562,94,4,"1,68,232","9,91,730","5,27,721","4,64,009",3216.0,308,140,30,3,0,0
172,Fatehpur,Total,"1,352",163,7,"4,72,238","26,32,733","13,84,722","12,48,011",4152.0,634,309,57,5,0,0
173,Pratapgarh,Total,"2,183",34,9,"5,33,546","32,09,141","16,06,085","16,03,056",3717.0,863,174,23,6,0,1
173,Pratapgarh,Total,"2,183",34,9,"5,33,546","32,09,141","16,06,085","16,03,056",3717.0,863,360,71,17,0,0
174,Kaushambi,Total,729,139,9,"2,77,851","15,99,596","8,38,485","7,61,111",1779.0,899,170,39,3,0,0
175,Allahabad ,Total,"2,809",244,25,"9,76,733","59,54,391","31,31,807","28,22,584",5482.0,"1,086",539,87,14,0,0
177,Faizabad,Total,"1,235",29,10,"4,23,375","24,70,996","12,59,628","12,11,368",2341.0,"1,056",255,44,7,0,0
179,Sultanpur,Total,"2,498",29,11,"6,23,523","37,97,117","19,14,586","18,82,531",4436.0,856,403,77,14,0,0
180,Bahraich,Total,"1,359",31,5,"6,03,754","34,87,731","18,43,884","16,43,847",5237.0,666,276,50,6,0,0
181,Shrawasti,Total,509,32,2,"1,88,289","11,17,361","5,93,897","5,23,464",1640.0,681,167,25,4,0,0
182,Balrampur,Total,998,17,6,"3,23,881","21,48,665","11,14,721","10,33,944",3349.0,642,214,37,4,0,0
183,Gonda,Total,"1,812",5,10,"5,41,247","34,33,919","17,87,146","16,46,773",4003.0,858,338,59,5,0,0
185,Basti,Total,"3,160",188,3,"3,82,212","24,64,464","12,55,272","12,09,192",2688.0,917,267,61,4,0,0
188,Gorakhpur,Total,"2,937",382,14,"6,92,960","44,40,895","22,77,777","21,63,118",3321.0,"1,337",448,87,9,0,0
190,Deoria,Total,"2,019",143,10,"4,68,346","31,00,946","15,37,436","15,63,510",2540.0,"1,221",364,74,10,0,0
191,Azamgarh,Total,"3,800",301,20,"6,65,232","46,13,913","22,85,004","23,28,909",4054.0,"1,138",490,100,11,0,0
192,Mau,Total,"1,499",111,14,"3,24,424","22,05,968","11,14,709","10,91,259",1713.0,"1,288",225,48,5,0,0
194,Jaunpur,Total,"3,287",94,13,"6,63,513","44,94,204","22,20,465","22,73,739",4038.0,"1,113",499,94,13,0,0
195,Ghazipur,Total,"2,740",627,8,"5,46,664","36,20,268","18,55,075","17,65,193",3377.0,"1,072",393,74,12,0,0
199,Mirzapur,Total,"1,745",216,10,"3,94,925","24,96,970","13,12,302","11,84,668",4405.0,567,265,48,7,0,0
200,Sonbhadra,Total,"1,391",38,18,"3,33,174","18,62,559","9,71,344","8,91,215",6905.0,270,165,33,5,0,0
