District,Number of Sub Centres,Number of  Primary Health Centres,Number of Community Health Centres,Sub Divisional Hospital,District Hospital,,
Nicobar,36,3,1,0,1,,
North & Middle Andaman,41,7,2,0,1,,
South Andaman,37,9,1,0,1,,
Adilabad,470,70,13,2,0,,
Chittoor,653,94,9,5,1,,
Kadapa,462,72,12,1,1,,
East Godavari,809,96,20,3,1,,
Guntur,689,74,16,2,1,,
Hyderabad,53,10,0,4,1,,
Khammam,591,69,13,2,1,,
Kurnool,576,88,18,1,1,,a
Medak,489,67,8,3,1,,
Nellore,481,61,15,2,1,,
Nizamabad,412,50,14,3,1,,
Prakasam,555,85,14,3,0,,
Rangareddi,399,48,9,1,1,,
Srikakulam,488,86,14,2,0,,
Warangal,605,69,14,2,0,,
West Godavari,643,70,15,3,1,,
Anjaw,0,0,0,0,0,,
Changlang,0,0,0,0,1,,
Dibang Valley,0,0,0,0,1,,
East Kameng,0,0,0,0,1,,
East Siang,0,0,0,0,1,,
Lohit,0,0,0,0,1,,
Lower Dibang Valley,0,0,0,0,1,,
Lower Subansiri,0,0,0,0,1,,
Papum Pare,0,0,0,0,1,,
Tawang,0,0,0,0,1,,
Tirap,0,0,0,0,1,,
Upper Siang,0,0,0,0,1,,
Upper Subansiri,0,0,0,0,1,,
West Kameng,0,0,0,0,1,,
West Siang,0,0,0,0,1,,
KurumKumey,0,0,0,0,0,,
Barpeta,264,50,7,1,1,,
Bongaigaon,87,30,2,0,1,,
Baksa,157,40,5,0,0,,
Cachar,269,30,1,0,1,,
Chirang,76,24,2,0,1,,
Darrang,163,31,4,0,1,,
Dhemaji,98,21,3,0,1,,
Dhubri,246,44,6,1,1,,
Dibrugarh,231,28,5,0,0,,
Goalpara,151,41,2,0,1,,
Golaghat,144,42,4,1,1,,
Hailakandi,105,12,2,0,1,,
Jorhat,143,41,3,2,0,,
Kamrup (Rural),280,69,9,1,1,,
Kamrup (Metro) ,51,22,3,0,1,,
Karbi Anglong,145,47,5,1,1,,
Karimganj,217,23,1,0,1,,
Kokrajhar,159,45,4,1,1,,
Lakhimpur,156,28,5,1,1,,
Morigaon,123,29,2,0,1,,
N.C.HILLS,65,10,2,0,1,,
Sivasagar,219,43,2,2,1,,
Sonitpur,279,53,3,2,1,,
Tinsukia,164,19,5,0,1,,
Udalguri,142,23,3,0,1,,
Araria,199,33,2,1,1,,
Aurangabad,216,70,3,0,1,,
Arwal,64,28,0,0,1,,
Banka,265,43,3,1,1,,
Begusarai,287,41,2,1,1,,
Bhagalpur,258,71,3,2,1,,
Bhojpur,302,42,3,1,1,,
Buxar,147,35,0,2,1,,
Darbhanga,259,55,2,1,0,,
Gaya,440,71,2,0,1,,
Gopalganj,195,35,3,1,1,,
Jamui,279,57,3,1,1,,
Kaimur (Bhabua),183,30,2,2,1,,
Katihar,330,62,1,2,1,,
Khagaria,171,26,1,1,1,,
Kishanganj,136,16,2,0,1,,
Lakhisarai,102,22,1,1,1,,
Madhepura,272,36,0,0,1,,
Madhubani,434,88,3,2,1,,
Munger,151,30,0,1,1,,
Muzaffarpur,480,94,1,0,1,,
Pashchim Champaran,368,53,2,1,1,,
Purba Champaran,327,73,1,1,1,,
Purnia,334,44,2,0,1,,
Rohtas,186,51,2,2,1,,
Saharsa,152,42,0,1,1,,
Samastipur,362,65,1,3,1,,
Saran,413,63,3,1,1,,
Sheikhpura,85,23,1,1,1,,
Sheohar,29,12,1,1,1,,
Sitamarhi,212,54,2,0,1,,
Siwan,367,61,3,0,1,,
Supaul,178,31,2,1,1,,
Vaishali,335,47,3,1,1,,
Chandigarh,17,0,2,0,1,,
Bastar,405,58,11,0,0,,
Bijapur,90,12,4,0,1,,
Bilaspur,381,79,10,0,1,,
Dantewada,155,25,6,0,1,,
Dhamtari,178,22,4,0,1,,
Durg,444,73,15,0,1,,
Janjgir-Champa,261,43,8,0,1,,
Jashpur,256,33,8,0,1,,
Kanker,243,30,8,0,1,,
Kawardha,144,23,5,0,1,,
