Year,District,Total cases,Total deaths
2000,Andaman,530,0
2000,Nicobars,472,1
2000,Adilabad,1798,2
2000,Anantapur,1301,0
2000,Chittoor,291,1
2000,East Godavari,19693,0
2000,Guntur,1501,0
2000,Hyderabad,802,0
2000,Karimnagar,1801,0
2000,Khammam,5493,1
2000,Krishna,10007,0
2000,Kurnool,4802,0
2000,Mahabubnagar,199,0
2000,Medak,32,0
2000,Nalgonda,51,0
2000,Nizamabad,503,0
2000,Prakasam,1402,0
2000,Ranga Reddy,401,0
2000,SPSR Nellore,1106,0
2000,Srikakulam,4201,0
2000,Visakhapatanam,16163,2
2000,Vizianagaram,5603,0
2000,Warangal,1203,0
2000,West Godavari,605,0
2000,Y.S.R.,1599,0
2000,Changlang,6262,0
2000,Dibang Valley,5272,0
2000,East Kameng,1937,0
2000,East Siang,10009,0
2000,Lohit,3893,0
2000,Lower Subansiri,273,0
2000,Papum Pare,3708,0
2000,Tirap,3122,0
2000,Upper Siang,474,0
2000,Upper Subansiri,652,0
2000,West Kameng,452,0
2000,West Siang,10111,0
2000,Barpeta,1335,1
2000,Bongaigaon,2649,0
2000,Cachar,3896,1
2000,Darrang,15594,0
2000,Dhemaji,826,0
2000,Dhubri,2072,1
2000,Dibrugarh,70,0
2000,Dima Hasao,3490,1
2000,Goalpara,5178,0
2000,Golaghat,157,0
2000,Hailakandi,5216,0
2000,Jorhat,214,0
2000,Kamrup,7063,0
2000,Karbi Anglong,16679,20
2000,Karimganj,477,0
2000,Kokrajhar,3688,2
2000,Lakhimpur,2017,0
2000,Marigaon,481,1
2000,Nagaon,4724,4
2000,Nalbari,1516,1
2000,Sivasagar,47,1
2000,Sonitpur,6089,10
2000,Tinsukia,1437,0
2000,Araria,0,0
2000,Aurangabad,2052,0
2000,Banka,0,0
2000,Begusarai,0,0
2000,Bhagalpur,32,0
2000,Bhojpur,11,0
2000,Buxar,0,0
2000,Darbhanga,0,0
2000,Gaya,1436,0
2000,Gopalganj,7,0
2000,Jamui,1514,0
2000,Jehanabad,0,0
2000,Kaimur (Bhabua),850,0
2000,Katihar,0,0
2000,Khagaria,0,0
2000,Kishanganj,0,0
2000,Lakhisarai,3,0
2000,Madhepura,0,0
2000,Madhubani,0,0
2000,Munger,21,0
2000,Muzaffarpur,86,0
2000,Nalanda,4,0
2000,Nawada,2712,1
2000,Pashchim Champaran,4,0
2000,Patna,263,1
2000,Purbi Champaran,1,0
2000,Purnia,7,0
2000,Rohtas,466,0
2000,Saharsa,0,0
2000,Samastipur,9,0
2000,Saran,21,0
2000,Sheikhpura,0,0
2000,Sheohar,0,0
2000,Sitamarhi,1,0
2000,Siwan,9,0
2000,Supaul,0,0
2000,Vaishali,0,0
2000,Chandigarh,256,0
2000,Bastar,37883,18
2000,Bilaspur,14606,1
2000,Dantewada,20569,4
2000,Dhamtari,17327,0
2000,Durg,8463,0
2000,Janjgir-Champa,5303,7
2000,Jashpur,43047,0
2000,Kabirdham,1432,0
2000,Kanker,69931,7
2000,Korba,26210,9
2000,Korea,11035,3
2000,Mahasamund,10523,3
2000,Raigarh,28007,6
2000,Raipur,11415,3
2000,RajnandGaon,11765,0
2000,Surguja,41639,2
2000,"Dadra And Nagar
Haveli",2415,0
2000,Daman,116,0
2000,Diu,16,0
2000,New Delhi,2631,0
2000,Goa,9164,11
2000,Ahmadabad,910,0
2000,Ahmadabad MC#,1075,2
2000,Amreli,746,0
2000,Banas kantha,513,0
2000,Bharuch,1936,0
2000,Bhavnagar,519,0
2000,Dang,368,0
2000,Gandhinagar,480,0
2000,Jamnagar,1119,0
2000,Junagadh,2460,0
2000,Kachchh,2580,0
2000,Kheda,2671,0
2000,Mahesana,673,0
2000,Panch Mahals,4330,0
2000,Rajkot,643,0
2000,Sabar kantha,839,0
2000,Surat,9498,0
2000,Surendranagar,1395,0
2000,Vadodara,3152,0
2000,Valsad,805,0
