Year,District,Total cases,Total deaths,District code,No:of villages inhabited,No:of villages uninhabited,Number of towns,Number of households,Total population,Males,Females,Area(In sq . km),Population per sq . Km,Number of Sub Centres,Number of  Primary Health Centres,Number of Community Health Centres,Sub Divisional Hospital,District Hospital,Percent_Female,Avg_Household_Size,Total_Health_Facilities,Total_Hospitals,Facilities_Per_100k,Hospitals_Per_100k,Percent_Male,Population_Density in sq km
2000,Adilabad,1798.0,2.0,532.0,1590.0,135.0,22.0,649849.0,2741239.0,1369597.0,1371642.0,16105.0,170.0,470.0,70.0,13.0,2.0,0.0,50.03730065127484,4.2182707059640006,553.0,2.0,20.173359564780743,0.0729597090950479,49.96269934872516,170.0
2000,Chittoor,291.0,1.0,554.0,1455.0,38.0,22.0,1039953.0,4174064.0,2090204.0,2083860.0,15152.0,275.0,653.0,94.0,9.0,5.0,1.0,49.92400691508323,4.013704465490267,756.0,6.0,18.1118449549408,0.1437448012296888,50.07599308491676,275.0
2000,East Godavari,19693.0,0.0,545.0,1312.0,62.0,19.0,1428528.0,5154296.0,2569688.0,2584608.0,10807.0,477.0,809.0,96.0,20.0,3.0,1.0,50.14473363578653,3.608116886753357,925.0,4.0,17.946194785864062,0.0776051666415743,49.85526636421346,477.0
2000,Guntur,1501.0,0.0,548.0,691.0,21.0,14.0,1296609.0,4887813.0,2440521.0,2447292.0,11391.0,429.0,689.0,74.0,16.0,2.0,1.0,50.06926410646234,3.769689243249122,779.0,3.0,15.937598267364155,0.061377143520016,49.93073589353767,429.0
2000,Hyderabad,802.0,0.0,536.0,0.0,0.0,3.0,849051.0,3943323.0,2018575.0,1924748.0,217.0,18172.0,53.0,10.0,0.0,4.0,1.0,48.81030542007338,4.644388852966429,63.0,5.0,1.5976373226337282,0.1267966129074387,51.18969457992662,18172.0
2000,Khammam,5493.0,1.0,541.0,1103.0,120.0,14.0,754034.0,2797370.0,1390988.0,1406382.0,16029.0,175.0,591.0,69.0,13.0,2.0,1.0,50.27515130283088,3.709872499118077,673.0,3.0,24.05831191440532,0.1072435895144367,49.72484869716913,175.0
2000,Kurnool,4802.0,0.0,552.0,870.0,28.0,12.0,887652.0,4053463.0,2039227.0,2014236.0,17658.0,230.0,576.0,88.0,18.0,1.0,1.0,49.69173272335285,4.566500159972602,682.0,2.0,16.825119656945184,0.0493405268532116,50.30826727664716,230.0
2000,Medak,32.0,0.0,535.0,1201.0,30.0,24.0,668626.0,3033288.0,1523030.0,1510258.0,9699.0,313.0,489.0,67.0,8.0,3.0,1.0,49.789469381080856,4.536598935727896,564.0,4.0,18.593684477042736,0.1318701026740619,50.21053061891914,313.0
2000,Nizamabad,503.0,0.0,533.0,847.0,65.0,8.0,593234.0,2551335.0,1250641.0,1300694.0,7956.0,321.0,412.0,50.0,14.0,3.0,1.0,50.980917833212814,4.300722817640256,476.0,4.0,18.656899231186813,0.1567806658082925,49.01908216678719,321.0
2000,Prakasam,1402.0,0.0,549.0,985.0,96.0,13.0,860463.0,3397448.0,1714764.0,1682684.0,17626.0,193.0,555.0,85.0,14.0,3.0,0.0,49.52788092709587,3.948395224431498,654.0,3.0,19.24974274808621,0.0883015722389275,50.47211907290413,193.0
2000,Srikakulam,4201.0,0.0,542.0,1701.0,101.0,12.0,681330.0,2703114.0,1341738.0,1361376.0,5837.0,463.0,488.0,86.0,14.0,2.0,0.0,50.36324772096182,3.967407864030646,588.0,2.0,21.752689675685158,0.0739887403934869,49.63675227903818,463.0
2000,Warangal,1203.0,0.0,540.0,961.0,88.0,15.0,886279.0,3512576.0,1759281.0,1753295.0,12846.0,273.0,605.0,69.0,14.0,2.0,0.0,49.91479187923621,3.963284699287696,688.0,2.0,19.586764813060277,0.0569382698054077,50.08520812076379,273.0
2000,West Godavari,605.0,0.0,546.0,842.0,39.0,13.0,1091525.0,3936966.0,1964918.0,1972048.0,7742.0,509.0,643.0,70.0,15.0,3.0,1.0,50.09055196311068,3.606849133093608,728.0,4.0,18.49139667449503,0.1016010806290935,49.90944803688932,509.0
2000,Changlang,6262.0,0.0,253.0,347.0,15.0,3.0,29521.0,148226.0,76948.0,71278.0,4662.0,32.0,0.0,0.0,0.0,0.0,1.0,48.08738008176704,5.021035872768538,0.0,1.0,0.0,0.6746454738035162,51.91261991823297,32.0
2000,Dibang Valley,5272.0,0.0,257.0,134.0,8.0,1.0,1952.0,8004.0,4414.0,3590.0,9129.0,1.0,0.0,0.0,0.0,0.0,1.0,44.85257371314343,4.100409836065574,0.0,1.0,0.0,12.49375312343828,55.14742628685657,1.0
2000,East Kameng,1937.0,0.0,247.0,356.0,26.0,1.0,14508.0,78690.0,38775.0,39915.0,4134.0,19.0,0.0,0.0,0.0,0.0,1.0,50.72436141822341,5.423904052936311,0.0,1.0,0.0,1.2708095056551023,49.27563858177659,19.0
2000,East Siang,10009.0,0.0,251.0,150.0,1.0,2.0,19107.0,99214.0,50116.0,49098.0,3603.0,28.0,0.0,0.0,0.0,0.0,1.0,49.48696756506138,5.192547233998011,0.0,1.0,0.0,1.007922269034612,50.51303243493862,28.0
2000,Lohit,3893.0,0.0,259.0,286.0,14.0,2.0,30005.0,145726.0,76221.0,69505.0,5212.0,28.0,0.0,0.0,0.0,0.0,1.0,47.69567544569946,4.856723879353441,0.0,1.0,0.0,0.6862193431508448,52.30432455430054,28.0
2000,Lower Subansiri,273.0,0.0,255.0,536.0,42.0,1.0,15249.0,83030.0,41843.0,41187.0,3508.0,24.0,0.0,0.0,0.0,0.0,1.0,49.60496206190533,5.444947209653092,0.0,1.0,0.0,1.2043839576056847,50.39503793809467,24.0
