Year,District,Total cases,Total deaths,District code,No:of villages inhabited,No:of villages uninhabited,Number of towns,Number of households,Total population,Males,Females,Area(In sq . km),Population per sq . Km,Number of Sub Centres,Number of  Primary Health Centres,Number of Community Health Centres,Sub Divisional Hospital,District Hospital,Percent_Female,Avg_Household_Size,Total_Health_Facilities,Total_Hospitals,Facilities_Per_100k,Hospitals_Per_100k,Percent_Male,Population_Density in sq km,Total cases_Lag_1Y,Total cases_Lag_2Y,Total deaths_Lag_1Y,Total deaths_Lag_2Y
2002,Adilabad,1360,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,1818,1798,0,2
2003,Adilabad,900,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,1360,1818,0,0
2004,Adilabad,758,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,900,1360,0,0
2005,Adilabad,845,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,758,900,0,0
2006,Adilabad,902,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,845,758,0,0
2007,Adilabad,2165,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,902,845,0,0
2008,Adilabad,1882,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,2165,902,0,0
2009,Adilabad,614,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,1882,2165,0,0
2010,Adilabad,612,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,614,1882,0,0
2011,Adilabad,1162,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,612,614,0,0
2012,Adilabad,707,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,1162,612,0,0
2013,Adilabad,995,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,707,1162,0,0
2015,Adilabad,1498,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,995,707,0,0
2016,Adilabad,7874,2,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,1498,995,0,0
2017,Adilabad,1213,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,7874,1498,2,0
2018,Adilabad,58,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,1213,7874,0,2
2019,Adilabad,7,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,58,1213,0,0
2020,Adilabad,1,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,7,58,0,0
2021,Adilabad,9,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,1,7,0,0
2022,Adilabad,2,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,9,1,0,0
2023,Adilabad,2,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,2,9,0,0
2024,Adilabad,2,0,532,1590,135,22,649849,2741239,1369597,1371642,16105,170,470,70,13,2,0,50.03730065,4.218270706,553,2,20.17335956,0.072959709,49.96269935,170,2,2,0,0
2003,Agra,408,0,146,893,36,27,710566,4418797,2364953,2053844,4041,1093,383,68,7,0,0,46.4797093,6.218700304,458,0,10.36481196,0,53.5202907,1093,578,328,0,0
2004,Agra,663,0,146,893,36,27,710566,4418797,2364953,2053844,4041,1093,383,68,7,0,0,46.4797093,6.218700304,458,0,10.36481196,0,53.5202907,1093,408,578,0,0
2005,Agra,439,0,146,893,36,27,710566,4418797,2364953,2053844,4041,1093,383,68,7,0,0,46.4797093,6.218700304,458,0,10.36481196,0,53.5202907,1093,663,408,0,0
2006,Agra,267,0,146,893,36,27,710566,4418797,2364953,2053844,4041,1093,383,68,7,0,0,46.4797093,6.218700304,458,0,10.36481196,0,53.5202907,1093,439,663,0,0
2007,Agra,332,0,146,893,36,27,710566,4418797,2364953,2053844,4041,1093,383,68,7,0,0,46.4797093,6.218700304,458,0,10.36481196,0,53.5202907,1093,267,439,0,0
2008,Agra,215,0,146,893,36,27,710566,4418797,2364953,2053844,4041,1093,383,68,7,0,0,46.4797093,6.218700304,458,0,10.36481196,0,53.5202907,1093,332,267,0,0
